step,time_slot,population,susceptible,latent,infected_untested,infected_tested,infected_asymptomatic,in_hospital,recovered,death,active_infections,cumulative_infections
0,0,65221.0,60558.0,896.0,792.0,788.0,336.0,168.0,1683.0,0.0,2980.0,4663.0
1,1,65221.0,60552.0,898.0,778.0,802.0,336.0,168.0,1686.0,1.0,2982.0,4669.0
2,2,65221.0,60547.0,900.0,761.0,817.0,334.0,166.0,1695.0,1.0,2978.0,4674.0
3,3,65221.0,60540.0,903.0,742.0,838.0,333.0,165.0,1698.0,2.0,2981.0,4681.0
4,4,65221.0,60537.0,905.0,723.0,854.0,332.0,165.0,1703.0,2.0,2979.0,4684.0
5,5,65221.0,60528.0,911.0,710.0,867.0,330.0,165.0,1707.0,3.0,2983.0,4693.0
6,6,65221.0,60520.0,913.0,696.0,885.0,329.0,164.0,1711.0,3.0,2987.0,4701.0
7,7,65221.0,60515.0,914.0,688.0,896.0,329.0,163.0,1713.0,3.0,2990.0,4706.0
8,8,65221.0,60510.0,916.0,677.0,905.0,327.0,163.0,1718.0,5.0,2988.0,4711.0
9,9,65221.0,60507.0,918.0,659.0,920.0,326.0,163.0,1723.0,5.0,2986.0,4714.0
10,10,65221.0,60502.0,919.0,654.0,925.0,324.0,163.0,1729.0,5.0,2985.0,4719.0
11,11,65221.0,60493.0,925.0,643.0,937.0,324.0,163.0,1731.0,5.0,2992.0,4728.0
12,12,65221.0,60482.0,932.0,637.0,944.0,322.0,163.0,1736.0,5.0,2998.0,4739.0
13,13,65221.0,60477.0,934.0,624.0,959.0,321.0,163.0,1738.0,5.0,3001.0,4744.0
14,14,65221.0,60471.0,940.0,604.0,977.0,321.0,163.0,1740.0,5.0,3005.0,4750.0
15,15,65221.0,60460.0,947.0,598.0,982.0,321.0,163.0,1745.0,5.0,3011.0,4761.0
16,16,65221.0,60453.0,948.0,592.0,992.0,320.0,163.0,1748.0,5.0,3015.0,4768.0
17,17,65221.0,60444.0,950.0,590.0,996.0,320.0,163.0,1753.0,5.0,3019.0,4777.0
18,18,65221.0,60441.0,950.0,568.0,1019.0,320.0,162.0,1756.0,5.0,3019.0,4780.0
19,19,65221.0,60434.0,955.0,567.0,1021.0,319.0,162.0,1758.0,5.0,3024.0,4787.0
20,20,65221.0,60431.0,956.0,563.0,1025.0,319.0,162.0,1760.0,5.0,3025.0,4790.0
21,21,65221.0,60426.0,958.0,552.0,1035.0,319.0,162.0,1764.0,5.0,3026.0,4795.0
22,22,65221.0,60419.0,963.0,546.0,1040.0,318.0,162.0,1767.0,6.0,3029.0,4802.0
23,23,65221.0,60410.0,966.0,538.0,1050.0,318.0,162.0,1771.0,6.0,3034.0,4811.0
24,24,65221.0,60404.0,967.0,529.0,1063.0,318.0,162.0,1772.0,6.0,3039.0,4817.0
25,25,65221.0,60397.0,971.0,526.0,1065.0,316.0,162.0,1778.0,6.0,3040.0,4824.0
26,26,65221.0,60389.0,976.0,522.0,1069.0,316.0,162.0,1781.0,6.0,3045.0,4832.0
27,27,65221.0,60381.0,981.0,517.0,1075.0,314.0,162.0,1785.0,6.0,3049.0,4840.0
28,28,65221.0,60370.0,990.0,501.0,1088.0,314.0,161.0,1790.0,7.0,3054.0,4851.0
29,29,65221.0,60363.0,995.0,498.0,1093.0,314.0,161.0,1790.0,7.0,3061.0,4858.0
30,30,65221.0,60351.0,1005.0,487.0,1100.0,314.0,160.0,1795.0,9.0,3066.0,4870.0
31,31,65221.0,60344.0,1006.0,480.0,1112.0,315.0,160.0,1795.0,9.0,3073.0,4877.0
32,32,65221.0,60340.0,1007.0,471.0,1119.0,315.0,160.0,1800.0,9.0,3072.0,4881.0
33,33,65221.0,60336.0,1008.0,462.0,1131.0,315.0,160.0,1800.0,9.0,3076.0,4885.0
34,34,65221.0,60329.0,1014.0,456.0,1135.0,315.0,159.0,1803.0,10.0,3079.0,4892.0
35,35,65221.0,60322.0,1018.0,445.0,1146.0,315.0,159.0,1806.0,10.0,3083.0,4899.0
36,36,65221.0,60316.0,1020.0,436.0,1157.0,315.0,159.0,1808.0,10.0,3087.0,4905.0
37,37,65221.0,60305.0,1028.0,428.0,1166.0,314.0,159.0,1811.0,10.0,3095.0,4916.0
38,38,65221.0,60299.0,1029.0,425.0,1172.0,314.0,158.0,1814.0,10.0,3098.0,4922.0
39,39,65221.0,60286.0,1040.0,415.0,1183.0,312.0,158.0,1817.0,10.0,3108.0,4935.0
40,40,65221.0,60274.0,1049.0,412.0,1186.0,310.0,158.0,1822.0,10.0,3115.0,4947.0
41,41,65221.0,60269.0,1047.0,407.0,1198.0,310.0,158.0,1822.0,10.0,3120.0,4952.0
42,42,65221.0,60262.0,1052.0,404.0,1202.0,309.0,158.0,1824.0,10.0,3125.0,4959.0
43,43,65221.0,60253.0,1059.0,395.0,1211.0,309.0,158.0,1826.0,10.0,3132.0,4968.0
44,44,65221.0,60245.0,1059.0,393.0,1220.0,309.0,158.0,1827.0,10.0,3139.0,4976.0
45,45,65221.0,60235.0,1062.0,394.0,1225.0,309.0,157.0,1829.0,10.0,3147.0,4986.0
46,46,65221.0,60227.0,1067.0,389.0,1228.0,310.0,157.0,1833.0,10.0,3151.0,4994.0
47,47,65221.0,60224.0,1064.0,388.0,1233.0,310.0,157.0,1835.0,10.0,3152.0,4997.0
48,48,65221.0,60218.0,1064.0,382.0,1241.0,309.0,157.0,1840.0,10.0,3153.0,5003.0
